#
# White Dwarf Mass Function
# Kernel Density Estimate calculation from 1772 white dwarf masses
# Source: Kilic et al. 2020, ApJ, 898, 84, Tables 3-7
#
# PDF computed using Kernel Density Estimation (KDE) by author BSR
#
# Masses are in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
   1.375      0.36468E-01  0.23212E-01  0.49566E-01
   1.378      0.35858E-01  0.22680E-01  0.48914E-01
   1.382      0.35258E-01  0.22160E-01  0.48125E-01
   1.385      0.34670E-01  0.21651E-01  0.47326E-01
   1.388      0.34094E-01  0.21155E-01  0.46478E-01
   1.391      0.33529E-01  0.20671E-01  0.45773E-01
   1.393      0.32977E-01  0.20198E-01  0.45019E-01
   1.396      0.32437E-01  0.19739E-01  0.44292E-01
   1.400      0.31910E-01  0.19291E-01  0.43649E-01
   1.403      0.31396E-01  0.18856E-01  0.43022E-01
   1.406      0.30896E-01  0.18434E-01  0.42410E-01
   1.408      0.30408E-01  0.18024E-01  0.41814E-01
   1.411      0.29935E-01  0.17627E-01  0.41235E-01
   1.414      0.29475E-01  0.17243E-01  0.40672E-01
   1.418      0.29029E-01  0.16872E-01  0.40127E-01
   1.421      0.28598E-01  0.16551E-01  0.39598E-01
   1.424      0.28180E-01  0.16269E-01  0.39087E-01
   1.426      0.27778E-01  0.15999E-01  0.38593E-01
   1.429      0.27390E-01  0.15740E-01  0.38118E-01
   1.433      0.27018E-01  0.15491E-01  0.37645E-01
   1.436      0.26660E-01  0.15253E-01  0.37144E-01
   1.439      0.26318E-01  0.15026E-01  0.36663E-01
   1.442      0.25991E-01  0.14810E-01  0.36280E-01
   1.444      0.25679E-01  0.14605E-01  0.35961E-01
   1.447      0.25383E-01  0.14410E-01  0.35651E-01
   1.451      0.25103E-01  0.14227E-01  0.35306E-01
   1.454      0.24839E-01  0.14054E-01  0.34981E-01
   1.457      0.24591E-01  0.13892E-01  0.34675E-01
   1.459      0.24359E-01  0.13741E-01  0.34390E-01
   1.462      0.24143E-01  0.13601E-01  0.34124E-01
   1.465      0.23944E-01  0.13471E-01  0.33877E-01
   1.469      0.23760E-01  0.13352E-01  0.33651E-01
   1.472      0.23594E-01  0.13244E-01  0.33446E-01
   1.475      0.23443E-01  0.13147E-01  0.33260E-01
   1.477      0.23310E-01  0.13061E-01  0.33095E-01
   1.480      0.23192E-01  0.12986E-01  0.32951E-01
   1.484      0.23092E-01  0.12921E-01  0.32826E-01
   1.487      0.23008E-01  0.12867E-01  0.32723E-01
   1.490      0.22941E-01  0.12824E-01  0.32640E-01
   1.493      0.22891E-01  0.12792E-01  0.32578E-01
   1.495      0.22857E-01  0.12770E-01  0.32537E-01
   1.498      0.22840E-01  0.12759E-01  0.32516E-01
