#
# Lane-Emden Polytrope
# n=0
#
  xi            theta         r/R*           rho/rho*
   1.93995      0.372768      0.791980       1.00000    
   1.94609      0.368792      0.794486       1.00000    
   1.95222      0.364803      0.796992       1.00000    
   1.95836      0.360802      0.799499       1.00000    
   1.96450      0.356788      0.802005       1.00000    
   1.97064      0.352762      0.804511       1.00000    
   1.97678      0.348723      0.807018       1.00000    
   1.98292      0.344671      0.809524       1.00000    
   1.98906      0.340607      0.812030       1.00000    
   1.99520      0.336531      0.814536       1.00000    
   2.00134      0.332441      0.817043       1.00000    
   2.00748      0.328340      0.819549       1.00000    
   2.01362      0.324225      0.822055       1.00000    
   2.01975      0.320098      0.824561       1.00000    
   2.02589      0.315959      0.827068       1.00000    
   2.03203      0.311807      0.829574       1.00000    
   2.03817      0.307643      0.832080       1.00000    
   2.04431      0.303465      0.834586       1.00000    
   2.05045      0.299276      0.837093       1.00000    
   2.05659      0.295074      0.839599       1.00000    
   2.06273      0.290859      0.842105       1.00000    
   2.06887      0.286631      0.844612       1.00000    
   2.07501      0.282391      0.847118       1.00000    
   2.08115      0.278139      0.849624       1.00000    
   2.08728      0.273874      0.852130       1.00000    
   2.09342      0.269596      0.854637       1.00000    
   2.09956      0.265306      0.857143       1.00000    
   2.10570      0.261003      0.859649       1.00000    
   2.11184      0.256688      0.862155       1.00000    
   2.11798      0.252360      0.864662       1.00000    
   2.12412      0.248020      0.867168       1.00000    
   2.13026      0.243667      0.869674       1.00000    
   2.13640      0.239301      0.872180       1.00000    
   2.14254      0.234923      0.874687       1.00000    
   2.14868      0.230532      0.877193       1.00000    
   2.15481      0.226129      0.879699       1.00000    
   2.16095      0.221713      0.882205       1.00000    
   2.16709      0.217285      0.884712       1.00000    
   2.17323      0.212844      0.887218       1.00000    
   2.17937      0.208391      0.889724       1.00000    
   2.18551      0.203925      0.892231       1.00000    
   2.19165      0.199446      0.894737       1.00000    
   2.19779      0.194955      0.897243       1.00000    
   2.20393      0.190451      0.899749       1.00000    
   2.21007      0.185935      0.902256       1.00000    
   2.21621      0.181406      0.904762       1.00000    
   2.22234      0.176864      0.907268       1.00000    
   2.22848      0.172311      0.909774       1.00000    
   2.23462      0.167744      0.912281       1.00000    
   2.24076      0.163165      0.914787       1.00000    
   2.24690      0.158573      0.917293       1.00000    
   2.25304      0.153969      0.919800       1.00000    
   2.25918      0.149352      0.922306       1.00000    
   2.26532      0.144723      0.924812       1.00000    
   2.27146      0.140081      0.927318       1.00000    
   2.27760      0.135426      0.929825       1.00000    
   2.28374      0.130759      0.932331       1.00000    
   2.28987      0.126080      0.934837       1.00000    
   2.29601      0.121387      0.937343       1.00000    
   2.30215      0.116683      0.939850       1.00000    
   2.30829      0.111965      0.942356       1.00000    
   2.31443      0.107236      0.944862       1.00000    
   2.32057      0.102493      0.947368       1.00000    
   2.32671      0.977381E-01  0.949875       1.00000    
   2.33285      0.929705E-01  0.952381       1.00000    
   2.33899      0.881904E-01  0.954887       1.00000    
   2.34513      0.833978E-01  0.957394       1.00000    
   2.35126      0.785925E-01  0.959900       1.00000    
   2.35740      0.737746E-01  0.962406       1.00000    
   2.36354      0.689443E-01  0.964912       1.00000    
   2.36968      0.641013E-01  0.967419       1.00000    
   2.37582      0.592459E-01  0.969925       1.00000    
   2.38196      0.543778E-01  0.972431       1.00000    
   2.38810      0.494972E-01  0.974937       1.00000    
   2.39424      0.446039E-01  0.977444       1.00000    
   2.40038      0.396982E-01  0.979950       1.00000    
   2.40652      0.347799E-01  0.982456       1.00000    
   2.41266      0.298491E-01  0.984962       1.00000    
   2.41879      0.249056E-01  0.987469       1.00000    
   2.42493      0.199497E-01  0.989975       1.00000    
   2.43107      0.149810E-01  0.992481       1.00000    
   2.43721      0.999990E-02  0.994987       1.00000    
   2.44335      0.500623E-02  0.997494       1.00000    
   2.44949       0.00000       1.00000       1.00000    
   2.44949       0.00000       1.00000       0.00000
