#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC5  356870  2.93873 15.482 FU
LMC-SC5  364380  5.85315 13.956 FO
LMC-SC5  372083  5.67416 14.629 FU
LMC-SC5  399066  5.40730 14.579 FU
LMC-SC5  399077  3.77933 14.949 FU
LMC-SC5  399079  3.95347 14.925 FU
LMC-SC5  399097  4.07161 14.832 FU
LMC-SC5  416554  7.77074 13.951 FU
LMC-SC5  424993  1.38240 15.866 FO
LMC-SC5  432746  6.69708 14.397 FU
LMC-SC5  432811  1.13065 15.957 FO
LMC-SC5  451420  0.74854 16.657 FO
LMC-SC5  455916  9.56961 13.970 FU
LMC-SC6      11  6.48199 14.366 FU
LMC-SC6   27321  0.51358 17.223 FO
LMC-SC6   40971  1.90654 15.447 FO
LMC-SC6   66530  8.69372 13.966 FU
LMC-SC6   66641  2.71388 15.483 FU
LMC-SC6   67038  4.12283 15.123 FA
LMC-SC6   75997  2.95020 14.568 FO
LMC-SC6   85035  1.73684 15.429 FO
LMC-SC6   85348 20.09245 16.271 FA
LMC-SC6   86027  0.40354 17.563 FO
LMC-SC6  102424  4.79637 14.559 FU
LMC-SC6  102475  3.35922 15.072 FU
LMC-SC6  110701 18.31313 16.992 FA
LMC-SC6  118107 15.54830 13.667 FU
LMC-SC6  118148 10.52246 16.132 FA
LMC-SC6  130073  1.99746 15.520 FO
LMC-SC6  130129  1.74146 16.805 FO
LMC-SC6  135695  1.86498 15.497 FO
LMC-SC6  135716  2.83883 14.830 FO
LMC-SC6  135720  5.48026 15.048 FU
LMC-SC6  135722  1.88902 15.593 FO
LMC-SC6  149017  6.41560 14.289 FU
LMC-SC6  149023  6.39017 14.277 FU
LMC-SC6  149048  2.26109 15.249 FO
LMC-SC6  149085  3.19340 15.461 FU
LMC-SC6  156009  3.88564 15.126 FU
LMC-SC6  156035  1.67056 15.619 FO
LMC-SC6  170439  4.26399 15.210 FU
LMC-SC6  179065  1.28091 16.001 FO
LMC-SC6  179066  1.36431 15.849 FO
LMC-SC6  214270  2.37270 14.959 FO
LMC-SC6  215189 10.14732 17.382 FA
LMC-SC6  236501  0.62865 16.837 FO
LMC-SC6  242669 24.83793 15.244 FA
LMC-SC6  242748  2.85193 15.704 FU
LMC-SC6  242764  2.60608 15.924 FU
LMC-SC6  248240  1.69515 15.770 FO
LMC-SC6  248263  1.66405 16.153 FO
LMC-SC6  253982  2.88334 15.070 FU
LMC-SC6  254054  3.09206 15.577 FU
LMC-SC6  254057  3.38313 15.613 FU
LMC-SC6  254091  2.93396 15.827 FU
LMC-SC6  254530  1.26602 17.751 FA
LMC-SC6  260688  3.01606 15.512 FU
LMC-SC6  262021 18.53205 18.265 FA
LMC-SC6  267289  1.84575 15.555 FO
LMC-SC6  267410  0.88863 16.588 FO
LMC-SC6  273862  2.91870 14.699 BR
LMC-SC6  280559  1.62104 15.486 FO
LMC-SC6  287443  3.40050 14.487 FO
LMC-SC6  296003  3.86933 15.164 FU
LMC-SC6  296014  2.63001 14.796 FO
LMC-SC6  313781  1.88168 15.404 FO
LMC-SC6  330185  2.48103 14.531 BR
LMC-SC6  330218  4.19084 14.689 FO
LMC-SC6  330443  0.72166 16.558 BR
LMC-SC6  337291  3.11760 15.367 FU
LMC-SC6  337379  1.59560 15.834 FO
LMC-SC6  350603 11.40947 16.044 FA
LMC-SC6  356421  2.71909 15.578 FU
LMC-SC6  356428  3.90219 15.052 FU
LMC-SC6  363181  1.91686 15.530 FO
LMC-SC6  363194  2.79732 14.815 FO
LMC-SC6  363198  3.24923 15.379 FU
LMC-SC6  363832  0.38960 17.624 FO
LMC-SC6  369970  3.56717 15.044 FU
LMC-SC6  369993  2.58070 15.534 FU
LMC-SC6  370053  3.09197 15.469 FU
LMC-SC6  377026  5.73913 14.627 FU
LMC-SC6  377097  3.01105 15.673 FU
LMC-SC6  377104  2.85850 16.191 FU
LMC-SC6  384159  2.57456 15.511 FU
LMC-SC6  397681  2.98850 15.352 FU
LMC-SC6  404591  6.63242 14.201 FU
LMC-SC6  404601  2.08020 15.365 FO
LMC-SC6  405017  0.94716 16.379 FO
LMC-SC6  405078  1.20913 17.663 FA
LMC-SC6  422324  2.23825 15.135 FO
LMC-SC6  422348  5.63875 14.581 FU
LMC-SC6  431558  2.24761 15.007 FO
LMC-SC6  440314  3.71218 15.140 FU
LMC-SC6  440325  1.15102 16.235 FO
LMC-SC6  447868  3.26794 15.331 FU
LMC-SC6  455072  1.80719 15.207 FO
LMC-SC7    6475  8.45920 13.924 FU
LMC-SC7    6477  5.57530 14.479 FU
LMC-SC7    6487  2.78737 15.498 FU
LMC-SC7    6499  3.04584 15.425 FU
LMC-SC7   14056  4.53213 13.320 BR
LMC-SC7   14079  3.21399 14.688 FO
