Mass,Radius
1.846,10.3214
2.5971,10.931
1.236,10.7193
1.7859,11.2989
1.3193,10.9041
1.0838,10.9419
1.39,11.7167
1.3472,11.9283
1.4022,11.1069
2.3095,8.4726
1.6004,11.1195
1.5413,12.2965
1.1309,10.7426
0.9979,10.6783
1.0549,10.7296
1.9043,11.823
0.9456,10.2175
1.7693,10.9148
1.4505,10.9545
1.4619,10.7643
1.7356,11.0093
1.3646,10.7872
1.1551,11.151
1.3385,10.9353
1.1089,11.2086
1.42,11.0518
1.2668,11.0131
1.4016,10.9997
1.0804,10.9059
0.9467,10.2423
1.0401,10.7117
1.8005,12.0988
1.3445,11.2021
1.2545,11.036
1.3583,11.1679
1.1601,11.2474
1.054,10.5908
1.3254,10.7764
1.1597,11.0556
1.1704,10.6737
1.8639,11.1401
0.9161,10.3208
1.8633,8.2802
0.9377,10.268
1.0937,11.415
1.494,11.0094
1.126,11.0844
1.0783,11.045
1.0781,10.8289
1.3522,11.1739
1.0726,10.9181
0.871,9.899
1.9416,9.3674
1.8447,10.1369
1.51,10.7353
1.2854,10.9029
1.2561,11.0094
0.9911,10.6426
1.0199,10.4551
1.0732,11.322
2.1401,12.2911
1.1768,10.9094
1.2048,11.3289
1.2594,10.5563
1.0499,11.2847
1.7913,10.0142
1.0975,10.6781
0.9857,10.4215
0.9482,10.4223
2.9343,15.3805
1.5129,11.1774
1.555,11.1188
1.7718,10.9054
1.2991,12.1282
1.5601,11.1355
1.1421,11.0446
1.0942,10.1921
1.0882,10.5135
2.1445,9.4971
1.1169,10.6013
1.089,10.5596
1.9415,10.536
1.2622,10.8619
1.3152,10.9927
1.0443,10.9476
1.2128,10.5929
2.1642,11.2746
1.0777,10.6055
1.4991,10.8086
1.2695,10.8824
1.1312,10.9389
1.089,11.2129
1.3017,11.18
1.2467,11.0439
1.1157,10.6393
1.1715,10.7442
1.3412,10.96
1.1486,10.7701
0.9728,10.3103
1.0168,10.3945
0.8467,10.5366
2.0333,9.2774
1.4467,10.881
2.0985,7.8217
1.1989,10.9776
1.5835,11.8577
1.6957,11.5312
1.1402,10.8172
1.1287,10.6161
1.4284,11.1619
1.118,11.4305
0.9363,10.2681
0.8876,9.8353
1.2136,11.2658
1.6975,11.0129
2.4107,9.7753
2.2452,12.0075
1.7488,10.7893
1.1822,10.738
1.097,10.3104
2.2399,9.5497
1.4237,10.8299
1.5161,10.9673
1.2088,11.1268
1.0943,11.925
1.4886,11.1795
2.6052,10.2732
1.8011,10.5655
1.7398,10.7338
1.4998,11.0465
1.3989,11.268
1.2813,10.8521
1.0345,10.5837
1.2657,10.8007
2.0039,8.1415
1.4972,10.787
1.4923,11.298
1.6383,11.1423
1.3619,11.3714
1.9589,9.3766
1.2101,12.0364
0.9554,10.15
1.0424,10.5134
2.8727,13.2722
1.1507,10.6921
1.5698,10.9989
1.2717,11.4039
1.831,10.4373
1.5121,13.826
1.1136,10.5037
1.0477,10.6692
1.0888,10.5224
1.4129,11.0075
1.0554,10.4838
0.8976,11.0573
2.3479,9.3293
2.1819,9.586
2.2403,8.1479
1.6001,10.8245
0.9222,10.0071
1.2686,11.8179
1.0846,10.5699
1.1338,10.7712
1.4925,10.8836
1.5413,10.8169
1.2078,10.792
1.0517,10.4605
1.5989,12.0876
2.1839,10.0626
1.6127,10.7535
1.3484,11.0154
1.1906,10.5821
1.1608,12.8139
1.4634,10.8102
1.3665,10.6869
2.0454,10.6997
1.4147,10.5828
1.5326,12.9707
0.9942,10.3312
1.0796,10.3984
0.936,10.3235
0.9725,10.4418
1.1043,10.7998
1.0014,10.85
2.6086,12.2052
1.0817,10.5186
1.2778,10.8612
1.1197,10.7228
1.2979,11.1493
1.3708,11.6684
1.2144,10.639
1.2261,10.9561
1.7506,11.5267
1.2422,10.7729
1.367,11.8776
1.2441,10.7601
1.7274,10.6265
1.693,11.6531
1.0855,11.3649
1.4372,10.8784
1.015,10.3296
1.2014,10.9063
0.9988,10.2716
1.04,10.3756
1.1629,11.1713
1.586,10.926
1.4422,12.5048
1.5193,12.131
1.6152,11.6308
1.0748,10.4079
1.2517,10.8283
1.3482,10.7821
0.9677,10.6231
1.0979,10.8848
2.052,8.6101
1.4705,11.1833
1.2913,10.9207
1.0902,10.7694
1.54,10.8362
1.305,10.986
2.078,8.867
1.0123,10.4158
0.9745,10.5121
1.2997,11.6171
1.928,10.4055
2.1339,10.6948
