#
# Uniform-density and polytropic Sun models
# source: Ryden calculation
#
# units:
#  R/Rsun - dimensionless
#  uniRho - density in g/cm^3, uniform-density model
#  uniP - pressure in atm, uniform-density model
#  uniT - temperature in K, uniform-density model
#  polyRho - density in g/cm^3, polytropic model
#  polyP - pressure in atm, polytropic model
#  polyT - temperature in K, polytropic model
# 
R/Rsun        uniRho      uniP         uniT          polyRho     polyP        polyT
0.99993       1.4098      0.19748E+06   1047.3      0.80087E-12  0.33489E-07   315.14    
0.99993       1.4098      0.17860E+06   947.12      0.59240E-12  0.22403E-07   285.00    
0.99994       1.4098      0.16145E+06   856.16      0.43820E-12  0.14987E-07   257.75    
0.99994       1.4098      0.14603E+06   774.38      0.32414E-12  0.10026E-07   233.11    
0.99995       1.4098      0.13202E+06   700.12      0.23977E-12  0.67071E-08   210.82    
0.99995       1.4098      0.11943E+06   633.36      0.17735E-12  0.44869E-08   190.66    
0.99996       1.4098      0.10810E+06   573.28      0.13119E-12  0.30016E-08   172.43    
0.99996       1.4098       97718.       518.20      0.97041E-13  0.20080E-08   155.94    
0.99997       1.4098       88434.       468.97      0.71781E-13  0.13433E-08   141.03    
0.99997       1.4098       79937.       423.91      0.53096E-13  0.89861E-09   127.55    
0.99997       1.4098       72227.       383.02      0.39275E-13  0.60115E-09   115.35    
0.99998       1.4098       65303.       346.30      0.29052E-13  0.40215E-09   104.32    
0.99998       1.4098       59166.       313.76      0.21490E-13  0.26903E-09   94.346    
0.99998       1.4098       53501.       283.72      0.15896E-13  0.17997E-09   85.325    
0.99998       1.4098       48308.       256.18      0.11758E-13  0.12040E-09   77.166    
0.99998       1.4098       43745.       231.98      0.86976E-14  0.80542E-10   69.788    
0.99999       1.4098       39496.       209.45      0.64336E-14  0.53880E-10   63.115    
0.99999       1.4098       35720.       189.42      0.47590E-14  0.36044E-10   57.080    
0.99999       1.4098       32415.       171.90      0.35202E-14  0.24113E-10   51.622    
0.99999       1.4098       29268.       155.21      0.26039E-14  0.16131E-10   46.686    
0.99999       1.4098       26436.       140.19      0.19261E-14  0.10791E-10   42.222    
0.99999       1.4098       23918.       126.84      0.14247E-14  0.72188E-11   38.185    
0.99999       1.4098       21715.       115.16      0.10539E-14  0.48292E-11   34.534    
0.99999       1.4098       19512.       103.47      0.77956E-15  0.32306E-11   31.232    
0.99999       1.4098       17624.       93.460      0.57664E-15  0.21612E-11   28.245    
0.99999       1.4098       16050.       85.115      0.42654E-15  0.14458E-11   25.545    
0.99999       1.4098       14477.       76.771      0.31551E-15  0.96718E-12   23.102    
1.00000       1.4098       13061.       69.261      0.23338E-15  0.64701E-12   20.893    
1.00000       1.4098       11802.       62.585      0.17263E-15  0.43283E-12   18.895    
1.00000       1.4098       10700.       56.744      0.12770E-15  0.28955E-12   17.089    
1.00000       1.4098       9756.1       51.737      0.94458E-16  0.19370E-12   15.455    
1.00000       1.4098       8812.0       46.730      0.69871E-16  0.12958E-12   13.977    
1.00000       1.4098       7867.8       41.723      0.51683E-16  0.86687E-13   12.640    
1.00000       1.4098       7081.0       37.551      0.38230E-16  0.57991E-13   11.432    
1.00000       1.4098       6451.6       34.213      0.28279E-16  0.38794E-13   10.339    
1.00000       1.4098       5822.2       30.875      0.20918E-16  0.25952E-13   9.3501    
1.00000       1.4098       5350.1       28.372      0.15473E-16  0.17361E-13   8.4561    
1.00000       1.4098       4720.7       25.034      0.11445E-16  0.11614E-13   7.6475    
1.00000       1.4098       4406.0       23.365      0.84661E-17  0.77696E-14   6.9163    
1.00000       1.4098       3933.9       20.862      0.62624E-17  0.51977E-14   6.2550    
1.00000       1.4098       3461.8       18.358      0.46323E-17  0.34771E-14   5.6569    
1.00000       1.4098       3147.1       16.689      0.34265E-17  0.23261E-14   5.1160    
1.00000       1.4098       2832.4       15.020      0.25346E-17  0.15561E-14   4.6268    
1.00000       1.4098       2675.1       14.186      0.18748E-17  0.10410E-14   4.1844    
1.00000       1.4098       2360.3       12.517      0.13868E-17  0.69638E-15   3.7843    
1.00000       1.4098       2203.0       11.683      0.10258E-17  0.46586E-15   3.4225    
1.00000       1.4098       1888.3       10.014      0.75881E-18  0.31165E-15   3.0952    
1.00000       1.4098       1730.9       9.1791      0.56129E-18  0.20848E-15   2.7992    
1.00000       1.4098       1573.6       8.3447      0.41519E-18  0.13947E-15   2.5316    
1.00000       1.4098       1416.2       7.5102      0.30711E-18  0.93301E-16   2.2895    
1.00000       1.4098       1258.9       6.6757      0.22717E-18  0.62416E-16   2.0706    
1.00000       1.4098       1101.5       5.8413      0.16804E-18  0.41754E-16   1.8726    
1.00000       1.4098       1101.5       5.8413      0.12430E-18  0.27932E-16   1.6936    
1.00000       1.4098       944.14       5.0068      0.91944E-19  0.18686E-16   1.5316    
1.00000       1.4098       944.14       5.0068      0.68011E-19  0.12500E-16   1.3852    
1.00000       1.4098       786.78       4.1723      0.50308E-19  0.83624E-17   1.2527    
1.00000       1.4098       786.78       4.1723      0.37213E-19  0.55942E-17   1.1329    
1.00000       1.4098       629.43       3.3379      0.27526E-19  0.37424E-17   1.0246    
1.00000       1.4098       629.43       3.3379      0.20361E-19  0.25035E-17  0.92664    
1.00000       1.4098       472.07       2.5034      0.15061E-19  0.16748E-17  0.83804    
1.00000       1.4098       314.71       1.6689      0.45090E-20  0.33542E-18  0.56063    
1.00000       1.4098       314.71       1.6689      0.13499E-20  0.67178E-19  0.37504    
1.00000       1.4098       157.36      0.83447      0.99853E-21  0.44940E-19  0.33918    
1.00000       1.4098       157.36      0.83447      0.36222E-22  0.53966E-21  0.11228    
