G,BP-RP,MG
20.4639,0.5048,5.8689
18.9815,0.5049,4.3865
18.4517,0.5051,3.8567
20.7397,0.5052,6.1447
20.0858,0.506,5.4908
20.03,0.5061,5.435
18.8664,0.5064,4.2714
19.5995,0.5065,5.0045
19.9304,0.5065,5.3354
19.6755,0.5069,5.0805
19.0723,0.507,4.4773
18.6971,0.507,4.1021
17.7107,0.5071,3.1157
19.4426,0.5073,4.8476
19.0079,0.5075,4.4129
20.1843,0.5076,5.5893
20.1832,0.5084,5.5882
18.957,0.5084,4.362
20.7678,0.5085,6.1728
18.948,0.5087,4.353
19.6599,0.5088,5.0649
19.7195,0.5089,5.1245
19.7285,0.509,5.1335
19.4295,0.5094,4.8345
18.8338,0.5094,4.2388
19.3085,0.5095,4.7135
18.916,0.5097,4.321
20.3465,0.5098,5.7515
18.7687,0.5098,4.1737
20.4098,0.5105,5.8148
20.5267,0.5106,5.9317
19.7421,0.5107,5.1471
20.098,0.5111,5.503
19.1962,0.5112,4.6012
19.4006,0.5113,4.8056
20.4942,0.5114,5.8992
19.0048,0.5117,4.4098
18.6107,0.5119,4.0157
15.909,0.512,1.314
20.2311,0.512,5.6361
18.8915,0.5123,4.2965
20.1045,0.5124,5.5095
20.6831,0.5125,6.0881
20.5581,0.5131,5.9631
19.6339,0.5133,5.0389
20.5701,0.5134,5.9751
19.1156,0.5134,4.5206
18.73,0.5137,4.135
18.5664,0.5139,3.9714
18.7074,0.5142,4.1124
20.5007,0.5143,5.9057
20.1281,0.5144,5.5331
18.702,0.5145,4.107
20.3658,0.5148,5.7708
20.0698,0.5148,5.4748
19.8426,0.5149,5.2476
20.6534,0.5149,6.0584
18.5455,0.515,3.9505
19.147,0.5151,4.552
18.682,0.5152,4.087
20.5144,0.5155,5.9194
19.4421,0.5155,4.8471
20.4792,0.5157,5.8842
19.7154,0.5157,5.1204
16.0306,0.5158,1.4356
19.1023,0.5158,4.5073
19.3166,0.5163,4.7216
19.0824,0.5169,4.4874
19.4865,0.5172,4.8915
19.4842,0.5174,4.8892
18.739,0.5175,4.144
19.5321,0.5176,4.9371
19.2549,0.5185,4.6599
19.6763,0.519,5.0813
19.9955,0.5191,5.4005
18.7949,0.5191,4.1999
20.1157,0.5193,5.5207
19.8928,0.5195,5.2978
20.544,0.5198,5.949
19.874,0.5198,5.279
19.9322,0.5201,5.3372
18.3368,0.5202,3.7418
18.9865,0.5205,4.3915
20.7345,0.5206,6.1395
20.8093,0.5206,6.2143
18.869,0.5206,4.274
20.3854,0.5207,5.7904
20.1949,0.5207,5.5999
18.6342,0.5207,4.0392
18.7559,0.5207,4.1609
19.6524,0.5208,5.0574
20.2039,0.5212,5.6089
19.6722,0.5214,5.0772
19.1482,0.5217,4.5532
18.4959,0.5217,3.9009
19.3231,0.5224,4.7281
19.6906,0.5224,5.0956
20.2124,0.5226,5.6174
20.759,0.5228,6.164
19.6222,0.5229,5.0272
19.1197,0.523,4.5247
18.7178,0.523,4.1228
18.337,0.5236,3.742
18.0853,0.5236,3.4903
18.5032,0.5237,3.9082
20.209,0.5237,5.614
19.9546,0.5238,5.3596
19.0564,0.5239,4.4614
19.5256,0.5242,4.9306
18.5387,0.5247,3.9437
20.0769,0.5252,5.4819
19.8763,0.5254,5.2813
16.0913,0.5254,1.4963
18.7742,0.5256,4.1792
18.6454,0.5257,4.0504
20.0424,0.5257,5.4474
18.9704,0.5257,4.3754
18.1993,0.5267,3.6043
17.9706,0.5268,3.3756
20.188,0.527,5.593
19.7817,0.5272,5.1867
19.3968,0.5273,4.8018
18.8481,0.5273,4.2531
19.3203,0.5278,4.7253
20.2681,0.528,5.6731
20.0356,0.528,5.4406
19.7782,0.5281,5.1832
19.2588,0.5284,4.6638
19.794,0.5285,5.199
19.9104,0.5286,5.3154
19.5773,0.529,4.9823
19.235,0.529,4.64
18.625,0.5291,4.03
19.0013,0.5293,4.4063
18.5875,0.5294,3.9925
17.6339,0.5295,3.0389
19.2242,0.5296,4.6292
18.9398,0.5297,4.3448
