#
# Main-sequence Mass-Luminosity-Radius data from Eker et al. 2018, MNRAS, 479, 5491
# Derived from a CSV file provided by Eker to the authors.
#
# Columns are logarithmic mass, radius, gravity, and luminosity, with errors
# all in solar units
#
ID     logM       errM       logR       errR       logg       errg       logL       errL   
256   -0.17783    0.00327   -0.16685    0.00829    4.59400    0.01700   -0.86546    0.06972
259    0.51627    0.00529    0.33041    0.00406    4.29400    0.01000    2.03074    0.02180
260    0.51614    0.00529    0.32838    0.00816    4.29800    0.01700    2.00603    0.05784
261    0.35641    0.00478    0.65849    0.00219    3.47800    0.00600    1.88403    0.06953
262    0.36380    0.00395    0.55895    0.00252    3.68400    0.00600    1.74471    0.06798
267    0.20844    0.00269    0.33526    0.01405    3.97600    0.02800    0.97051    0.03316
268    0.19535    0.00277    0.33526    0.01405    3.96300    0.02800    0.98814    0.03311
269    0.07115    0.00664    0.08920    0.01768    4.33100    0.03600    0.27441    0.06384
270    0.02119    0.00620    0.04844    0.01554    4.36300    0.03200    0.01303    0.09425
271    0.16256    0.00239    0.24650    0.00419    4.10800    0.00900    0.69935    0.03510
272    0.16077    0.00240    0.24650    0.00419    4.10600    0.00900    0.69935    0.08855
273    0.02202    0.00206    0.01030    0.00170    4.44000    0.00400    0.05870    0.02842
274   -0.06854    0.00153   -0.07831    0.00208    4.52600    0.00400   -0.40605    0.03890
275    0.49332    0.00223    0.56038    0.00084    3.81100    0.00300    2.15193    0.05154
276    0.28081    0.00682    0.25792    0.00096    4.20300    0.00700    1.24846    0.06114
279    0.15045    0.00276    0.20790    0.00377    4.17300    0.00800    0.64208    0.03924
280    0.08243    0.00216    0.08565    0.00357    4.34900    0.00700    0.28008    0.04105
281    0.61909    0.01253    0.38382    0.00897    4.29000    0.02200    2.17810    0.05803
282    0.42160    0.01974    0.25285    0.00970    4.35400    0.02800    1.56162    0.06857
283   -0.21538    0.00499   -0.20204    0.01106    4.62700    0.02300   -1.07624    0.07974
284   -0.22257    0.00435   -0.20412    0.01390    4.62400    0.02800   -1.12985    0.08707
285    0.12905    0.00774    0.35813    0.00267    3.85100    0.00900    0.90379    0.03235
286    0.15137    0.00674    0.38934    0.00478    3.81100    0.01200    0.94174    0.03697
287    0.01912    0.00540    0.10346    0.00787    4.25100    0.01700    0.20331    0.06098
288   -0.00218    0.00524    0.07188    0.00846    4.29200    0.01800    0.11279    0.06289
289    0.41179    0.00757    0.48558    0.04288    3.87900    0.08600    1.87294    0.12157
290   -0.03527    0.01178   -0.04287    0.01917    4.48900    0.04000   -0.07734    0.12820
293    0.30728    0.00214    0.30942    0.00426    4.12700    0.00900    1.48552    0.06133
294    0.26576    0.00471    0.20602    0.00270    4.29200    0.00700    1.15881    0.05396
297    0.31133    0.00467    0.26741    0.00282    4.21500    0.00700    1.32949    0.03382
309    0.69627    0.00787    0.48116    0.00861    4.17200    0.01900    2.82855    0.06861
310    0.66370    0.00659    0.42423    0.00818    4.25400    0.01800    2.65190    0.06964
311   -0.63639    0.00188   -0.59688    0.00172    4.99600    0.00400   -2.25689    0.04228
312   -0.66959    0.00203   -0.62160    0.00182    5.01200    0.00400   -2.31189    0.04261
313    0.41330    0.01174    0.55630    0.00844    3.73900    0.02100    1.89849    0.05518
314    0.39967    0.01038    0.61805    0.00733    3.60200    0.01800    1.84180    0.05755
319    1.25472    0.01087    0.87163    0.02621    3.95000    0.05400    4.82387    0.06008
320    0.99870    0.00958    0.73102    0.03461    3.97500    0.07000    4.09392    0.07914
321    0.24502    0.03211    0.51041    0.01086    3.66300    0.03900    1.53496    0.03605
322    0.10585    0.03744    0.11025    0.01112    4.32400    0.04400    0.60574    0.03767
323    0.08884    0.00248    0.14644    0.00372    4.23400    0.00800    0.40730    0.03562
324    0.08636    0.00214    0.15198    0.00367    4.22100    0.00800    0.40425    0.03575
325    0.29314    0.00376    0.34064    0.00178    4.05000    0.00500    1.54687    0.04014
326    0.02325    0.00412   -0.02965    0.00186    4.52100    0.00600    0.12011    0.06072
327    0.38328    0.00323    0.58625    0.00214    3.64900    0.00500    2.00113    0.04164
328    0.40226    0.01118    0.57287    0.00221    3.69500    0.01200    2.01133    0.04098
329    0.68404    0.00440    0.51108    0.00790    4.10000    0.01600    2.88840    0.16998
331    0.20602    0.01081    0.22737    0.00772    4.19000    0.01900    0.91754    0.06155
332    0.15866    0.00904    0.15473    0.00912    4.28800    0.02000    0.56274    0.07314
337    0.07628    0.00364    0.13290    0.00384    4.24900    0.00800    0.35038    0.05067
338    0.06781    0.00297    0.11826    0.00364    4.27000    0.00800    0.31249    0.05049
339    0.10343    0.00120    0.30138    0.00067    3.93900    0.00200    0.57576    0.03191
340    0.08325    0.00115    0.17932    0.00078    4.16300    0.00200    0.34292    0.03192
341    0.35736    0.00267    0.48116    0.00430    3.83300    0.00900    1.56164    0.04058
342    0.27323    0.00301    0.34400    0.00590    4.02400    0.01200    1.24307    0.04460
344    0.12678    0.00973    0.12057    0.02303    4.32400    0.04700    0.42734    0.05417
345    0.79692    0.00485    0.64699    0.01175    3.94100    0.02400    3.28896    0.14758
347    0.18667    0.00593    0.34537    0.01078    3.93400    0.02200    1.01338    0.14154
349    0.52763    0.00915    0.65562    0.00336    3.65500    0.01100    2.33407    0.09024
350    0.51135    0.00923    0.54630    0.00481    3.85700    0.01300    2.16482    0.09080
351    0.20710    0.01887    0.26928    0.01402    4.10700    0.03400    0.71716    0.04840
353    0.33925    0.00795    0.28058    0.00478    4.21600    0.01200    1.44494    0.06566
354    0.29380    0.00662    0.24080    0.00524    4.25100    0.01200    1.27246    0.06775
355    1.43463    0.00876    0.90956    0.00460    4.05400    0.01300    5.09294    0.09606
356    1.27793    0.01005    0.78880    0.00424    4.13900    0.01300    4.66332    0.09508
361    0.34242    0.00987    0.22763    0.00257    4.32600    0.01100    1.39249    0.04024
362    0.29885    0.00655    0.19005    0.00280    4.35700    0.00900    1.17096    0.04379
365    0.27138    0.02790    0.19948    0.02195    4.31100    0.05200    1.17063    0.09215
366    0.45148    0.03071    0.32695    0.01002    4.23600    0.03700    1.92532    0.05624
367    0.26928    0.02803    0.17406    0.02327    4.36000    0.05400    1.01024    0.06093
368    0.36154    0.03022    0.22737    0.01003    4.34500    0.03600    1.31117    0.03661
369    0.44232    0.00941    0.42259    0.00492    4.03500    0.01400    1.93357    0.13853
370    0.37125    0.00924    0.30792    0.00641    4.19400    0.01600    1.53545    0.10145
372    0.36661    0.01195    0.30060    0.02413    4.20400    0.05000    1.55866    0.06057
373    0.56277    0.00594    0.50515    0.00679    3.99100    0.01500    2.14629    0.06052
374    0.52088    0.00524    0.46553    0.00743    4.02800    0.01600    1.94552    0.06186
375    0.31387    0.03162    0.60390    0.01016    3.54400    0.03800    1.75740    0.02362
376    0.27161    0.03253    0.47261    0.01024    3.76500    0.03800    1.42500    0.02390
377    0.12057    0.01974    0.24055    0.03744    4.07800    0.07700    0.70076    0.12792
378    0.15836    0.02714    0.43136    0.02574    3.73400    0.05800    1.01313    0.10695
379    0.12385    0.00653    0.24055    0.00499    4.08100    0.01200    0.69198    0.04997
380    0.20140    0.00819    0.39794    0.00521    3.84400    0.01300    0.95234    0.05195
381    0.35218    0.00772    0.62737    0.00205    3.53600    0.00900    1.52664    0.04270
382    0.11059    0.01010    0.12710    0.00324    4.29500    0.01200    0.36497    0.05223
383    1.00342    0.00474    0.62870    0.00306    4.18400    0.00800    3.83142    0.01297
384    0.72280    0.00822    0.60670    0.00322    3.94800    0.01000    3.38089    0.01854
385    0.59073    0.01449    0.41095    0.00506    4.20700    0.01800    2.45763    0.09228
386    0.54183    0.01123    0.36996    0.00926    4.24000    0.02200    2.29456    0.10093
391    0.01828    0.00583   -0.02687    0.00231    4.51000    0.00700   -0.04534    0.04356
392   -0.00612    0.00661   -0.02641    0.00231    4.48500    0.00800   -0.06248    0.04698
394    0.45010    0.01756    0.31660    0.00419    4.25500    0.01900    1.91098    0.02280
395    0.71374    0.00840    0.42797    0.00811    4.29600    0.01800    2.73039    0.09806
396    0.65552    0.00576    0.39428    0.00876    4.30500    0.01800    2.46318    0.09958
397    0.02366    0.00206    0.12710    0.00389    4.20800    0.00800    0.32151    0.05121
398    0.01030    0.00297    0.01199    0.00422    4.42500    0.00900    0.06062    0.05265
399    1.49136    0.00841    0.95424    0.00869    4.02100    0.01900    5.39705    0.03757
400    1.22011    0.01046    0.68664    0.01608    4.28500    0.03400    4.26517    0.06065
404    0.12710    0.01945    0.23300    0.00508    4.09900    0.02200    0.73507    0.02331
406    0.20683    0.00539    0.36173    0.02644    3.92200    0.05300    0.43681    0.14161
407    0.29667    0.01535    0.26007    0.00716    4.21500    0.02100    1.21283    0.03452
408    0.20683    0.01618    0.19866    0.00825    4.24800    0.02300    0.90922    0.05684
409    0.32511    0.00822    0.32675    0.02476    4.11000    0.05000    1.26026    0.11957
410    0.21165    0.00534    0.24551    0.02986    4.15900    0.06000    0.86973    0.13232
414    0.22712    0.00875    0.19257    0.00307    4.28000    0.01100    1.07114    0.00796
415    0.08565    0.00570    0.10789    0.01016    4.30800    0.02100    0.32597    0.04857
416   -0.01863    0.00499   -0.01682    0.01354    4.45300    0.02800   -0.18185    0.05822
