#
# Solar Spectrum
# Source:
#   Spectrum: ASTM E-490-000 Solar Spectrum
#   Blackbody: T=5772K
# Lam: wavelength in Angstroms
# Sun: Solar spectral irradiance in erg/s/cm^2/A
# bb5772: T=5772K black body irradiance in erg/s/cm^2/A
#
Lam      Sun          bb5772
  1308.  412.299988  369.256165
  1310.  410.600006  367.70108
  1312.  403.299988  366.153442
  1314.  402.200012  364.613525
  1316.  397.899994  363.081085
  1318.  401.700012  361.556213
  1320.  401.600006  360.038849
  1322.  398.600006  358.52887
  1324.  398.100006  357.026245
  1326.  394.899994  355.531067
  1328.  390.799988  354.043121
  1330.  387.799988  352.562592
  1332.  386.299988  351.089172
  1334.  389.200012  349.623047
  1336.  386.600006  348.164062
  1338.  383.200012  346.712158
  1340.  379.  345.267334
  1342.  380.5  343.82962
  1344.  379.799988  342.398926
  1346.  377.200012  340.975159
  1348.  376.600006  339.55838
  1350.  372.399994  338.148529
