ID F555W F439W Color errF555W errF439W errColor
200317 20.0678 21.1759  1.1081 0.0216 0.0187 0.0286
200318 25.5818 26.0699  0.4881 0.4988 0.3070 0.5857
200319 23.5958 25.0939  1.4981 0.1174 0.1262 0.1724
    57 16.1008 16.6929  0.5921 0.0148 0.0109 0.0184
200320 20.3918 21.5709  1.1791 0.0255 0.0184 0.0314
200321 25.5738 26.2999  0.7261 0.7014 0.2611 0.7484
200322 25.3358 25.6999  0.3641 0.5185 0.2416 0.5720
200324 20.9358 22.2539  1.3181 0.0298 0.0231 0.0377
    58 17.6658 18.2659  0.6001 0.0162 0.0106 0.0194
200325 24.5918 25.7669  1.1751 0.2366 0.2489 0.3434
200326 20.5078 21.7039  1.1961 0.0256 0.0183 0.0315
200327 23.8368 22.8369 -0.9999 0.2573 0.0435 0.2610
200329 24.8178 24.9969  0.1791 0.4984 0.0991 0.5082
200330 24.6308 25.3259  0.6951 0.2737 0.1672 0.3207
200332 23.4848 22.1009 -1.3839 0.2331 0.0463 0.2377
200333 22.2388 23.9759  1.7371 0.0592 0.0937 0.1108
200334 23.9518 24.2139  0.2621 0.1957 0.0924 0.2164
200335 24.8738 25.8519  0.9781 0.2802 0.2199 0.3562
    59 18.5908 19.3499  0.7591 0.0166 0.0120 0.0205
    60 16.9008 17.4909  0.5901 0.0162 0.0103 0.0192
200336 24.9438 26.3329  1.3891 0.3516 0.1685 0.3899
200337 24.9148 25.5799  0.6651 0.2790 0.1777 0.3308
200339 25.4308 25.8449  0.4141 0.7768 0.1317 0.7879
200340 20.7008 21.9599  1.2591 0.0281 0.0179 0.0333
200341 25.3268 25.8339  0.5071 0.6718 0.1705 0.6931
200342 24.4048 24.1479 -0.2569 0.2139 0.0656 0.2237
200343 20.3128 21.5019  1.1891 0.0232 0.0170 0.0288
200344 25.0538 25.8839  0.8301 0.4197 0.2513 0.4892
200345 24.1178 24.8239  0.7061 0.2108 0.0763 0.2242
200346 24.5188 24.0039 -0.5149 0.5079 0.0768 0.5137
200348 24.7988 25.4779  0.6791 0.3518 0.1917 0.4006
200349 24.4118 26.1269  1.7151 0.3451 0.2668 0.4362
200350 24.9708 26.5619  1.5911 0.3204 0.2648 0.4157
200351 25.1878 24.8779 -0.3099 1.2611 0.1335 1.2681
200353 25.0598 23.9559 -1.1039 0.5813 0.0831 0.5872
200352 24.6378 25.4219  0.7841 0.4242 0.1044 0.4369
200354 20.9068 22.2189  1.3121 0.0306 0.0230 0.0383
    61 17.0678 17.6269  0.5591 0.0117 0.0108 0.0159
200355 23.0658 23.0569 -0.0089 0.1317 0.0642 0.1465
200356 23.9178 25.1519  1.2341 0.1682 0.1690 0.2384
    62 18.7798 19.5539  0.7741 0.0172 0.0115 0.0207
200357 19.8668 20.8799  1.0131 0.0216 0.0144 0.0260
200358 25.2218 25.7739  0.5521 0.4237 0.1899 0.4643
200359 25.5108 26.1019  0.5911 0.5770 0.2158 0.6160
200360 20.5118 21.8619  1.3501 0.0263 0.0186 0.0322
200361 23.8928 23.0069 -0.8859 0.2418 0.0531 0.2476
200362 19.7898 20.9039  1.1141 0.0228 0.0179 0.0290
200363 25.8148 25.6569 -0.1579 0.8953 0.2004 0.9175
200364 22.4768 24.0259  1.5491 0.0509 0.0676 0.0846
200365 25.4948 25.4319 -0.0629 0.5640 0.1571 0.5855
200366 24.1758 25.3959  1.2201 0.2106 0.1742 0.2733
200367 24.9438 25.5669  0.6231 0.5478 0.1429 0.5661
200368 26.2618 25.6779 -0.5839 1.8419 0.1818 1.8509
200369 22.1898 23.7549  1.5651 0.0493 0.0461 0.0675
200370 25.6578 25.8189  0.1611 1.1243 0.1916 1.1405
200372 25.0038 25.6859  0.6821 0.5870 0.2200 0.6269
200371 24.7608 25.7339  0.9731 0.6565 0.2243 0.6938
200374 24.2578 25.7879  1.5301 0.2500 0.1635 0.2987
200375 25.1168 26.0609  0.9441 0.3244 0.2311 0.3983
200376 26.4058 25.9169 -0.4889 2.0810 0.1974 2.0903
200377 23.1308 24.7169  1.5861 0.0913 0.1201 0.1509
200378 24.7378 25.7809  1.0431 0.3608 0.2901 0.4630
200379 24.9828 26.2639  1.2811 0.4011 0.2224 0.4586
200380 25.1308 25.8349  0.7041 0.3986 0.2516 0.4714
200381 20.1428 21.2569  1.1141 0.0216 0.0152 0.0264
200383 25.2728 26.5209  1.2481 0.3828 0.3132 0.4946
200384 23.6438 25.2879  1.6441 0.0911 0.1454 0.1716
200385 25.0198 25.7829  0.7631 0.3497 0.2126 0.4093
200386 21.5508 23.1219  1.5711 0.0415 0.0340 0.0536
200387 24.9758 26.0789  1.1031 0.3364 0.2486 0.4183
200388 25.0838 24.5659 -0.5179 0.7212 0.1086 0.7293
    64 17.0038 17.5699  0.5661 0.0152 0.0105 0.0185
200390 22.2518 23.8089  1.5571 0.0509 0.0581 0.0772
    65 17.1608 17.7469  0.5861 0.0176 0.0104 0.0204
200391 25.4768 25.6729  0.1961 1.0209 0.1993 1.0402
200392 24.9698 25.7209  0.7511 0.6232 0.2283 0.6637
200393 20.7108 21.9109  1.2001 0.0258 0.0215 0.0336
200394 25.0688 26.0429  0.9741 0.3424 0.2300 0.4125
200395 25.1868 25.0169 -0.1699 0.7717 0.1167 0.7805
200396 24.2318 24.1319 -0.0999 0.2256 0.0811 0.2397
200397 25.1238 26.2599  1.1361 0.4991 0.3194 0.5926
200398 24.3168 25.5259  1.2091 0.2982 0.1502 0.3339
200400 25.2858 25.8649  0.5791 0.3628 0.2849 0.4613
200401 24.4568 25.8729  1.4161 0.2051 0.2627 0.3333
200402 24.8008 25.8249  1.0241 0.4133 0.2023 0.4602
200403 24.9778 26.0369  1.0591 0.5489 0.2376 0.5981
200404 23.7398 24.9259  1.1861 0.2679 0.2450 0.3630
200405 23.8658 24.8989  1.0331 0.1508 0.1081 0.1855
200406 25.4168 25.9489  0.5321 0.5075 0.2134 0.5505
    66 17.1398 17.7339  0.5941 0.0127 0.0113 0.0170
200407 24.5498 25.6089  1.0591 0.2840 0.2338 0.3679
200408 24.7508 25.9809  1.2301 0.3260 0.2560 0.4145
200409 26.3688 25.2109 -1.1579 3.1530 0.1763 3.1579
200410 24.7248 25.6669  0.9421 0.3267 0.1824 0.3742
200411 25.0598 25.4959  0.4361 0.3639 0.1703 0.4018
200412 25.8138 25.7129 -0.1009 0.8806 0.2262 0.9092
200413 25.0418 25.6589  0.6171 0.4708 0.1405 0.4913
200414 25.0448 25.8779  0.8331 0.3344 0.1861 0.3827
200415 24.9398 25.4099  0.4701 0.7211 0.1922 0.7463
200416 24.9198 26.0809  1.1611 0.3116 0.2796 0.4187
200417 24.6058 25.5759  0.9701 0.3391 0.1960 0.3917
200418 25.3988 26.0309  0.6321 0.5619 0.2690 0.6230
    67 18.5298 19.2769  0.7471 0.0180 0.0132 0.0223
200420 25.2658 25.6469  0.3811 0.5859 0.2099 0.6224
200419 25.6308 25.5189 -0.1119 0.5538 0.1459 0.5727
