KIC,2MASS,Age,Mass,Prot
8350958,19005286+4418249,0.97,0.95,9.83
8364437,19253424+4422458,2.50,0.70,18.47
8378588,19450686+4421409,4.10,0.84,25.23
8386623,19532635+4418553,8.35,0.75,37.20
8429280,19250201+4429508,0.24,0.77,1.16
8431125,19274704+4425330,5.35,0.76,30.00
8482634,19044511+4433238,0.79,0.96,8.21
8495491,19273938+4433454,7.38,0.66,39.04
8505485,19420515+4430028,2.10,0.57,15.53
8507979,19451427+4434295,1.03,0.40,1.20
8520982,19585518+4432267,1.80,0.72,15.97
8609873,18593783+4444476,4.77,0.60,30.42
8610439,19010125+4442036,10.73,0.81,50.10
8674074,18582307+4450474,9.08,0.70,43.92
8676181,19031812+4453004,2.80,0.76,21.66
8681721,19151823+4452491,11.66,0.71,51.87
8684543,19201355+4451143,1.83,0.78,15.97
8715564,19595830+4453100,10.22,0.93,46.44
8736091,18532584+4457431,8.86,0.76,41.84
8740018,19020704+4455404,0.83,0.87,8.80
8741839,19061195+4454243,2.84,1.47,37.71
8773551,19532146+4457230,1.01,0.91,10.39
8775284,19550924+4459335,4.40,1.06,16.30
8811811,19155716+4501276,0.45,0.61,1.52
8813205,19183729+4501525,2.31,0.70,18.47
8837309,19520040+4504472,1.16,0.94,11.29
8844761,20001882+4505134,2.80,0.66,20.92
8847988,20035116+4505338,1.13,0.75,11.14
8867191,18543848+4509284,2.55,0.91,18.73
8873498,19070462+4509191,8.64,0.70,42.72
8935655,18563342+4513481,1.37,0.40,1.97
8938922,19031113+4516115,1.44,0.81,13.52
8953325,19274774+4513422,3.75,0.77,23.21
8984819,20035187+4514124,2.49,0.87,18.34
9006186,19004979+4523036,4.43,0.93,26.12
9008125,19042438+4519090,1.94,1.58,87.29
9019307,19232618+4521378,8.68,0.68,35.71
9048551,19580115+4518060,1.05,0.63,8.56
9073565,18571988+4529355,0.86,0.84,9.04
9080730,19132148+4527288,4.72,0.65,30.84
9142334,19032441+4530408,2.98,0.63,20.79
9151271,19215485+4533141,0.45,0.89,4.59
9172729,19520771+4533062,1.02,0.95,10.18
9202960,18560494+4539355,10.80,0.74,47.40
9207290,19055023+4537357,5.41,0.90,30.21
9209278,19102780+4541185,2.10,0.86,17.11
9209982,19120272+4540255,2.31,0.63,18.86
9211032,19141698+4540310,6.96,0.59,37.97
9236960,19523595+4539566,1.62,0.74,14.49
9241762,19580928+4539316,5.96,0.74,33.05
9265875,18562194+4547594,1.50,0.64,13.34
9269817,19051382+4545492,3.14,0.87,21.81
